trace	state	block	B	Delta_prep	P	R	theta	|B|
456	24	9	-1	0.9	-1.0	1.0	-1	0B
457	25	9	-1	1.5	-1.0	1.0	-1	0B
458	26	9	-1	-0.9	-1.0	1.0	-1	0B
459	27	9	-1	-0.3	-1.0	1.0	-1	0B
460	28	9	-1	0.3	-1.0	1.0	-1	0B
461	29	9	-1	-1.5	-1.0	1.0	-1	0B
462	30	9	-1	1.5	-1.0	1.0	-1	0B
463	31	9	-1	0.9	-1.0	1.0	-1	0B
464	32	9	-1	-0.3	-1.0	1.0	-1	0B
465	33	9	-1	-0.9	-1.0	1.0	-1	0B
466	34	9	-1	0.3	-1.0	1.0	-1	0B
467	35	9	-1	-1.5	-1.0	1.0	-1	0B
468	36	9	-1	-1.5	-1.0	1.0	1	0B
469	37	9	-1	-0.9	-1.0	1.0	1	0B
470	38	9	-1	0.3	-1.0	1.0	1	0B
471	39	9	-1	0.9	-1.0	1.0	1	0B
472	40	9	-1	1.5	-1.0	1.0	1	0B
473	41	9	-1	-0.3	-1.0	1.0	1	0B
474	42	9	-1	1.5	-1.0	1.0	1	0B
475	43	9	-1	-0.3	-1.0	1.0	1	0B
476	44	9	-1	-1.5	-1.0	1.0	1	0B
477	45	9	-1	-0.9	-1.0	1.0	1	0B
478	46	9	-1	0.9	-1.0	1.0	1	0B
479	47	9	-1	0.3	-1.0	1.0	1	0B
480	0	10	-1	-0.3	1.0	-1.0	1	0B
481	1	10	-1	0.9	1.0	-1.0	1	0B
482	2	10	-1	0.3	1.0	-1.0	1	0B
483	3	10	-1	1.5	1.0	-1.0	1	0B
484	4	10	-1	-1.5	1.0	-1.0	1	0B
485	5	10	-1	-0.9	1.0	-1.0	1	0B
486	6	10	-1	-1.5	1.0	-1.0	-1	0B
487	7	10	-1	0.9	1.0	-1.0	-1	0B
488	8	10	-1	-0.3	1.0	-1.0	-1	0B
489	9	10	-1	0.3	1.0	-1.0	-1	0B
490	10	10	-1	-0.9	1.0	-1.0	-1	0B
491	11	10	-1	1.5	1.0	-1.0	-1	0B
492	12	10	-1	-0.9	1.0	-1.0	1	0B
493	13	10	-1	-1.5	1.0	-1.0	1	0B
494	14	10	-1	-0.3	1.0	-1.0	1	0B
495	15	10	-1	0.3	1.0	-1.0	1	0B
496	16	10	-1	0.9	1.0	-1.0	1	0B
497	17	10	-1	1.5	1.0	-1.0	1	0B
498	18	10	-1	1.5	1.0	-1.0	-1	0B
499	19	10	-1	-0.9	1.0	-1.0	-1	0B
500	20	10	-1	0.9	1.0	-1.0	-1	0B
